"time","intensity","change"
0,6,6
1,11,5
2,18,7
3,18,0
4,24,6
5,26,2
6,26,0
7,30,4
8,33,3
9,34,1
10,34,0
11,38,4
12,35,-3
13,38,3
14,37,-1
15,36,-1
16,31,-5
17,25,-6
18,25,0
19,36,11
20,41,5
21,52,11
22,51,-1
23,76,25
24,125,49
25,175,50
26,222,47
27,253,31
28,275,22
29,299,24
30,316,17
31,331,15
32,339,8
33,340,1
34,346,6
35,346,0
36,344,-2
37,341,-3
38,334,-7
39,326,-8
40,315,-11
41,305,-10
42,291,-14
43,258,-33
44,242,-16
45,225,-17
46,214,-11
47,200,-14
48,183,-17
49,174,-9
50,168,-6
51,158,-10
52,147,-11
53,139,-8
54,138,-1
55,134,-4
56,133,-1
57,127,-6
58,124,-3
59,124,0
60,123,-1
61,123,0
62,125,2
63,127,2
64,129,2
65,133,4
66,135,2
67,134,-1
68,137,3
69,142,5
70,142,0
71,143,1
72,150,7
73,153,3
74,156,3
75,157,1
76,160,3
77,160,0
78,163,3
79,164,1
80,168,4
81,169,1
82,173,4
83,173,0
84,175,2
85,179,4
86,181,2
87,182,1
88,187,5
89,188,1
90,189,1
91,188,-1
92,192,4
93,193,1
94,192,-1
95,194,2
96,194,0
97,194,0
98,196,2
99,197,1
100,199,2
101,201,2
102,201,0
103,202,1
104,202,0
105,201,-1
106,202,1
107,205,3
108,205,0
109,205,0
110,207,2
111,207,0
112,208,1
113,210,2
114,211,1
115,209,-2
116,210,1
117,210,0
118,210,0
119,210,0
120,210,0
121,211,1
122,211,0
123,214,3
124,213,-1
125,209,-4
126,214,5
127,216,2
128,216,0
129,216,0
130,218,2
131,217,-1
132,215,-2
133,218,3
134,218,0
135,219,1
136,218,-1
137,218,0
138,218,0
139,217,-1
140,218,1
141,223,5
142,221,-2
143,222,1
144,223,1
145,224,1
146,223,-1
147,223,0
148,222,-1
149,224,2
150,223,-1
151,223,0
152,222,-1
153,226,4
154,226,0
155,227,1
156,227,0
157,227,0
158,226,-1
159,226,0
160,229,3
161,231,2
162,231,0
163,232,1
164,230,-2
165,231,1
166,231,0
167,231,0
168,231,0
169,232,1
170,233,1
171,232,-1
172,232,0
173,234,2
174,235,1
175,234,-1
176,235,1
177,234,-1
178,234,0
179,237,3
180,235,-2
181,236,1
182,234,-2
183,236,2
184,234,-2
185,235,1
186,235,0
187,234,-1
188,235,1
189,235,0
190,233,-2
191,233,0
192,235,2
193,234,-1
194,235,1
195,233,-2
196,233,0
197,234,1
198,234,0
199,233,-1
200,233,0
201,233,0
202,233,0
203,234,1
204,232,-2
205,231,-1
206,230,-1
207,230,0
208,232,2
209,230,-2
210,230,0
211,232,2
212,230,-2
213,229,-1
214,230,1
215,232,2
216,231,-1
217,231,0
218,231,0
219,230,-1
220,228,-2
221,228,0
222,230,2
223,228,-2
224,227,-1
225,226,-1
226,225,-1
227,224,-1
228,223,-1
229,222,-1
230,222,0
231,221,-1
232,217,-4
233,218,1
234,218,0
235,221,3
236,221,0
237,217,-4
238,216,-1
239,214,-2
240,212,-2
241,211,-1
242,210,-1
243,211,1
244,208,-3
245,208,0
246,209,1
247,208,-1
248,206,-2
249,208,2
250,204,-4
251,204,0
252,203,-1
253,201,-2
254,198,-3
255,200,2
256,198,-2
257,196,-2
258,193,-3
259,194,1
260,194,0
261,190,-4
262,191,1
263,189,-2
264,186,-3
265,184,-2
266,187,3
267,184,-3
268,184,0
269,182,-2
270,179,-3
271,177,-2
272,175,-2
273,173,-2
274,171,-2
275,170,-1
276,167,-3
277,168,1
278,163,-5
279,161,-2
280,158,-3
281,159,1
282,158,-1
283,158,0
284,155,-3
285,149,-6
286,148,-1
287,142,-6
288,137,-5
289,135,-2
290,128,-7
291,126,-2
292,121,-5
293,118,-3
294,118,0
295,112,-6
296,112,0
297,107,-5
298,105,-2
299,96,-9
300,92,-4
301,92,0
302,85,-7
303,83,-2
304,75,-8
305,73,-2
306,70,-3
307,68,-2
308,64,-4
309,63,-1
310,63,0
311,58,-5
312,56,-2
313,52,-4
314,49,-3
315,49,0
316,48,-1
317,49,1
318,49,0
319,47,-2
320,44,-3
321,42,-2
322,40,-2
323,38,-2
324,36,-2
325,33,-3
326,32,-1
327,30,-2
328,29,-1
329,27,-2
330,31,4
331,29,-2
332,29,0
333,25,-4
334,24,-1
335,23,-1
336,25,2
337,23,-2
338,24,1
339,23,-1
340,22,-1
341,22,0
342,22,0
343,19,-3
344,17,-2
345,11,-6
346,9,-2
347,10,1
348,2,-8
349,0,-2
